,COMPL_RPY_1YR_RT,COMPL_RPY_3YR_RT,COMPL_RPY_5YR_RT,COMPL_RPY_7YR_RT,C100_4,C100_L4,DEBT_MDN_SUPP,GRAD_DEBT_MDN,DEBT_N,GRAD_DEBT_N,LATITUDE,LONGITUDE,REGION,LOCALE,SCH_DEG,MAIN,NUMBRANCH,HIGHDEG,CONTROL,ST_FIPS,AVGFACSAL,PFTFAC,ICLEVEL,UG,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,MEDIAN_HH_INC,UNEMP_RATE,UGDS_MEN,UGDS_WOMEN,cost,earning
5024,0.5897435897,0.5853658537,0.6891891892,PrivacySuppressed,,0.5769,6697,7330.5,129,116,40.761390999999996,-111.87640900000001,7,12.0,1.0,1,1,1,3,49,,,3,,,,,,,,,61899.3,3.28999996185302,0.1786,0.8214,18984.0,PrivacySuppressed
5025,0.4232365145,0.4411764706,0.4107142857,0.4193548387,,0.6667,9500,12000,227,192,38.24116,-77.495581,5,22.0,1.0,1,1,2,3,51,5828.0,0.1071,2,,,,,,,,,74565.9,2.65000009536743,0.0457,0.9543,22348.0,24200
5026,0.4603960396,0.4846938776,0.4484304933,0.5833333333,,0.3922,9833,13500,281,195,36.779382,-76.189382,5,11.0,1.0,1,1,1,3,51,,,3,,,,,,,,,64057.87,2.77999997138977,0.0208,0.9792,16006.0,17800
5027,0.5869565217,0.689119171,0.7209302326,0.7622377622,0.0347,,12500,22841,1516,463,35.982345,-114.93804399999999,8,41.0,3.0,1,1,3,1,32,7524.0,1.0,1,,,,,,,,,68050.29,3.58999991416931,0.2404,0.7596,18149.0,40000
5028,0.2213605141,0.2612671457,0.2931675699,0.3699346405,,0.2262,11438,16710,25739,11010,32.387212,-90.143299,5,12.0,2.0,0,33,2,3,28,3251.0,,2,,,,,,,,,50571.48,4.19000005722045,0.2043,0.7957,21268.0,19700
5029,0.2213605141,0.2612671457,0.2931675699,0.3699346405,,0.1534,11438,16710,25739,11010,30.431897999999997,-97.671239,6,21.0,2.0,0,33,2,3,48,3169.0,,2,,,,,,,,,50571.48,4.19000005722045,0.1288,0.8712,23433.0,19700
5030,0.736204576,0.752617801,0.7845884413,0.7922437673,0.2364,,12459,15000,2563,1477,34.162949,-119.04356000000001,8,22.0,3.0,1,1,4,1,6,9224.0,0.4762,1,,,,,,,,,78662.36,3.52999997138977,0.353,0.647,23323.0,35300
5031,0.3941233609,0.4697186457,0.5454545455,0.773381295,0.2879,,13437.5,30481,19584,5727,33.697014,-117.916303,8,11.0,3.0,0,28,3,3,6,6305.0,0.2051,1,,,,,,,,,69860.21,4.13000011444091,0.5629,0.4371,29239.0,30300
5032,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7556,,14857,16028,83,66,42.292842,-71.26404699999999,1,21.0,3.0,1,1,3,2,25,11346.0,0.8197,1,,,,,,,,,,,0.5166,0.4834,65701.0,PrivacySuppressed
5033,0.3156558533,0.3555740895,0.328762046,0.3573858115,,0.3429,9500,10572,7105,5237,40.111166,-74.995874,2,11.0,1.0,0,12,2,3,42,4524.0,0.4118,2,,,,,,,,,55331.4,5.42000007629394,0.1963,0.8037,24976.0,23400
5034,0.3156558533,0.3555740895,0.328762046,0.3573858115,,0.1441,9500,10572,7105,5237,39.955846,-75.19462800000001,2,11.0,1.0,0,12,2,3,42,4940.0,0.28,2,,,,,,,,,55331.4,5.42000007629394,0.1501,0.8499,26502.0,23400
5035,,,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,40.099309999999996,-75.154336,2,21.0,,1,1,4,2,42,3655.0,,1,,,,,,,,,,,,,,
5036,0.3156558533,0.3555740895,0.328762046,0.3573858115,,0.2043,9500,10572,7105,5237,40.915145,-74.057574,2,21.0,1.0,0,12,1,3,34,,,3,,,,,,,,,55331.4,5.42000007629394,0.3558,0.6442,26572.0,23400
5037,0.4734714004,0.5043520309,0.4571392817,0.5017508754,,0.2441,8445,8708,12552,9956,38.914019,-104.820989,7,11.0,1.0,0,12,2,3,8,3986.0,0.4737,2,,,,,,,,,59572.48,3.65000009536743,0.0879,0.9121,20867.0,26700
5038,0.3424309625,0.4207746056,0.5432546177,0.6680815289,0.0,,14750,31977,151086,47997,42.057708,-88.04259499999999,3,13.0,3.0,0,37,4,3,17,,,1,,,,,,,,,62086.89,3.80999994277954,0.3993,0.6007,24010.0,28400
5039,PrivacySuppressed,PrivacySuppressed,,,,0.7090000000000001,5056,PrivacySuppressed,45,PrivacySuppressed,34.001428999999995,-118.08775700000001,8,21.0,1.0,1,1,1,3,6,,,3,,,,,,,,,52626.79,4.61999988555908,0.1389,0.8611,16718.0,11300
5040,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,0.0,15625,PrivacySuppressed,38,18,44.052323,-70.713985,1,42.0,1.0,1,1,1,3,23,,,2,,,,,,,,,56745.95,3.30999994277954,0.0,1.0,,PrivacySuppressed
5041,0.3941233609,0.4697186457,0.5454545455,0.773381295,0.0,,13437.5,30481,19584,5727,32.928188,-96.82329399999999,6,21.0,3.0,0,28,4,3,48,5377.0,0.2059,1,,,,,,,,,70553.21,3.25,0.2974,0.7026,24928.0,30300
5042,0.447144593,0.4764207981,0.4924760602,0.6332453826,,0.0098,9500,10556,1728,1188,33.695103,-117.92746799999999,8,12.0,1.0,0,7,1,3,6,,,3,,,,,,,,,68726.11,3.29999995231628,0.1787,0.8213,18020.0,19200
5043,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,26.242138,-81.731358,5,21.0,2.0,1,1,4,2,12,7559.0,0.7353,1,,,,,,,,,,,,,,
5044,0.4083629893,0.4084257206,0.4228791774,0.4379084967,,0.506,7600,9500,4508,3469,30.282646999999997,-81.560428,5,11.0,1.0,0,4,1,3,12,,,3,,,,,,,,,49446.65,3.4300000667572,0.9568,0.0432,31918.0,29800
5045,0.7745454545,0.8292682927,0.8501628664,0.8661087866,0.5,,13676.5,17894,958,570,40.060419,-76.247035,2,21.0,2.0,1,1,3,2,42,6579.0,0.8375,1,,,,,,,,,63119.07,2.27999997138977,0.1333,0.8667,36894.0,49900
